INDIVIDUALS	STRATA
T2P4-16_028	NOR
T3P2-16_039	NOR
VALC-12_029	NOR
CAPM-12_021	NOR
T4P1-16_039	NOR
T2P4-16_021	NOR
T3P3-16_053	NOR
T3P1-16_015	NOR
PLAC-16_002	NOR
FORT-15_057	NOR
T4P3-16_036	NOR
T1P2-16_001	NOR
BIGB-15_046	NOR
SIDN-12_038	NOR
T2P3-16_011	NOR
FALS-15_035	NOR
ETDN-15_048	NOR
T1P1-16_004	NOR
POIN-15_023	NOR
T4P3-16_052	NOR
FORT-16_008	NOR
POIN-15_051	NOR
ARIS-15_004	NOR
ARIS-15_012	NOR
TRIT-12_037	NOR
SHED-15_013	NOR
STGM-15_015	NOR
FALS-15_029	NOR
T4P3-16_034	NOR
NEGU-15_019	NOR
T1P1-16_057	NOR
T2X-16_009	NOR
ETDN-12_014	NOR
T3P3-16_005	NOR
T5P4-16_018	NOR
T4P4-16_022	NOR
T4P1-16_013	NOR
TIGN-15_039	NOR
BIGB-15_029	NOR
T2P1-16_044	NOR
T1P3-16_052	NOR
TRIT-12_008	NOR
ECUM-17_038	NOR
STGM-15_010	NOR
T3P3-16_040	NOR
CARA-12_001	NOR
DRUM-15_050	NOR
NEGU-15_009	NOR
T1P3-16_020	NOR
T3P1-16_017	NOR
CARA-12_012	NOR
T2P4-16_030	NOR
FORT-16_018	NOR
TRIT-12_036	NOR
T3P1-16_016	NOR
GASP-12_048	NOR
T4P3-16_035	NOR
T3P2-16_026	NOR
T3P1-16_005	NOR
CHET-12_022	NOR
PORT-12_044	NOR
DRUM-15_031	NOR
T4P3-16_056	NOR
T5P4-16_034	NOR
BIGB-15_001	NOR
T1P1-16_050	NOR
FORT-16_032	NOR
ROCK-16_049	NOR
ANTI-15_042	NOR
T5P3-16_043	NOR
VALC-12_008	NOR
T1P4-16_027	NOR
FORT-15_009	NOR
T1P1-16_005	NOR
T4P1-16_017	NOR
T3P2-16_055	NOR
ROCK-16_041	NOR
T3P3-16_049	NOR
T2P1-16_053	NOR
BONA-15_007	NOR
FORT-15_051	NOR
BONA-15_030	NOR
T5P4-16_023	NOR
TRIT-12_015	NOR
T5P1-16_027	NOR
ARIS-15_038	NOR
POBA-16_041	NOR
T1P4-16_009	NOR
ANTI-15_005	NOR
T1P3-16_019	NOR
VALC-12_005	NOR
FORT-16_028	NOR
BONA-15_028	NOR
T1P2-16_042	NOR
ETDN-12_048	NOR
T1P1-16_001	NOR
VALC-12_038	NOR
BONA-15_016	NOR
POBA-16_003	NOR
T3P1-16_032	NOR
CAPM-12_011	NOR
STGB-12_037	NOR
T5P4-16_027	NOR
BONA-15_010	NOR
T1P2-16_049	NOR
FORT-15_050	NOR
BIGB-12_031	NOR
ETDN-15_040	NOR
VALC-12_035	NOR
T1P2-16_030	NOR
T4P2-16_048	NOR
POIN-15_025	NOR
T4P4-16_020	NOR
FOUR-15_013	NOR
CAPM-12_002	NOR
T4P2-16_017	NOR
TIGN-15_016	NOR
ANTI-15_024	NOR
SOUR-15_001	NOR
ETDN-12_032	NOR
PORT-12_009	NOR
T1P2-16_010	NOR
TIGN-15_046	NOR
BURG-12_047	NOR
SIDN-12_016	NOR
NEGU-15_032	NOR
FOUR-15_035	NOR
T4P2-16_021	NOR
T3P3-16_033	NOR
SHED-15_021	NOR
STGM-15_017	NOR
T5P2-16_022	NOR
BIGB-15_049	NOR
POIN-15_054	NOR
T1P3-16_056	NOR
T5P3-16_054	NOR
SOUR-15_046	NOR
STJI-12_040	NOR
STGM-15_052	NOR
ETDN-15_014	NOR
T3P2-16_008	NOR
T2P2-16_005	NOR
ROCK-16_045	NOR
TRIT-12_004	NOR
STGB-12_043	NOR
T5P2-16_042	NOR
T2P4-16_037	NOR
T1P4-16_037	NOR
T3P3-16_050	NOR
T2P4-16_048	NOR
T2P2-16_004	NOR
SHED-15_030	NOR
ANTI-15_019	NOR
PLAC-16_020	NOR
ANTI-15_038	NOR
CANS-12_020	NOR
PLAC-16_026	NOR
T5P4-16_037	NOR
T2P2-16_041	NOR
BIGB-12_004	NOR
T2P3-16_031	NOR
GASP-12_018	NOR
CARA-15_035	NOR
T4P1-16_022	NOR
GASP-12_046	NOR
T1P1-16_056	NOR
T2P3-16_052	NOR
BIGB-15_030	NOR
CANS-12_041	NOR
ECUM-17_036	NOR
CANS-12_006	NOR
